№    | Дата/время          | Температура    | Осадки (мм) 
----------------------------------------------------------
1    | 2026-05-11T00:00    | 7.2 °C         | 0.0 мм      
2    | 2026-05-11T01:00    | 7.1 °C         | 0.0 мм      
3    | 2026-05-11T02:00    | 6.9 °C         | 0.0 мм      
4    | 2026-05-11T03:00    | 6.8 °C         | 0.0 мм      
5    | 2026-05-11T04:00    | 6.6 °C         | 0.0 мм      
6    | 2026-05-11T05:00    | 6.7 °C         | 0.0 мм      
7    | 2026-05-11T06:00    | 7.5 °C         | 0.0 мм      
8    | 2026-05-11T07:00    | 8.2 °C         | 0.0 мм      
9    | 2026-05-11T08:00    | 8.6 °C         | 0.0 мм      
10   | 2026-05-11T09:00    | 8.1 °C         | 0.2 мм      
11   | 2026-05-11T10:00    | 7.9 °C         | 0.9 мм      
12   | 2026-05-11T11:00    | 7.6 °C         | 1.9 мм      
13   | 2026-05-11T12:00    | 7.0 °C         | 2.2 мм      
14   | 2026-05-11T13:00    | 7.5 °C         | 1.4 мм      
15   | 2026-05-11T14:00    | 8.2 °C         | 0.4 мм      
16   | 2026-05-11T15:00    | 9.3 °C         | 0.1 мм      
17   | 2026-05-11T16:00    | 10.0 °C        | 0.1 мм      
18   | 2026-05-11T17:00    | 10.8 °C        | 0.0 мм      
19   | 2026-05-11T18:00    | 11.3 °C        | 0.0 мм      
20   | 2026-05-11T19:00    | 11.2 °C        | 0.0 мм      
21   | 2026-05-11T20:00    | 10.4 °C        | 0.0 мм      
22   | 2026-05-11T21:00    | 9.8 °C         | 0.0 мм      
23   | 2026-05-11T22:00    | 9.4 °C         | 0.0 мм      
24   | 2026-05-11T23:00    | 9.1 °C         | 0.0 мм      
